yarn_company_name,n
Alexander LTD / Александър ЕООД,1
Alexandra the Art of Yarn,5
Ali Rose Artisans,1
Alice Alishka Yarn Cake,2
Alice Starmore,4
Alice and Pip,1
Alice in Stitches,1
Alisha Goes Around,8
Alison & Mae,15
Alive With Purpose,1
Alize,39
All Dyed Up! Fibres,2
All Points North Yarn Co.,2
All Things Heather,3
All Things Nice,1
All Things You,3
All Wool That Ends Wool Handdyed,1
All You Knit is Love,3
All for Yarn,1
Allegheny Fiber Arts,1
Alley Cat Yarns,2
Allicats Designs,2
Alligator Knits,4
Allison Barnes Yarn,4
Almedahls,1
AlohaBlu,2
Along Avec Anna,2
Alpaca Acres Fine Yarns,3
Alpaca Connection,1
Alpaca Direct,1
Alpaca Dreams,1
Alpaca Export,1
Alpaca Fiber Studio,1
Alpaca Links,1
Alpaca Select,2
Alpaca Ultimate,3
Alpaca Ware,1
Alpaca Warehouse,1
Alpaca of Sweden,3
Alpacas Hispanicas,1
Alpacas d'Auxvasse,3
Alpacas of Snowdonia,1
Alpacas of Wildcat Hollow,2
Alpacas of the Ark,1
Alpacas of the Heartland,1
Alpagas Charlevoix,1
Alpaka Exklusiv,1
Alpakkahuset,1
Alpenglow Yarn,6
Alpha B Yarn,3
Alpina,14
Alps (阿尔卑斯),1
Alte Künste,4
Altered Skeins,2
Altin Basak,8
Altobish,2
Alvita,3
Always & Forever Custom Creations,1
Alwo,1
Aly Bee Workshop,1
Alysse Créations,3
Amalia Blooms Fiberarts,1
Amanda Hope Yarn,7
Amanda.Knits,1
Amano Yarns,11
Amazing Grace Farm,1
Ambar Hilados,2
Amber Waves Dye Studio,1
Ambrosia Cottage,1
Amelia and Wiggles,1
American Buffalo,2
American Hemp,1
Americo Original,15
AmiAmi,3
Amores Yarn Studio,2
Ampersand Fibers,2
Amy's Rainbow,1
An Caitin Dubh,1
An Pucan,1
An Tuirne,1
Anatolya Iplik,2
Anboshi,1
Ancestral Fiber Co,1
Anchor,38
Anchored Out Yarn Co.,1
Ancient Arts Fibre Crafts,4
Ancient Threads,1
AndeanSun Yarns,4
Andi Pandi Crafts,1
Andre's Alpacas,1
AndreSueKnits,1
Anette's Wollwerkstatt,2
Angel Yarns,2
Angelato Yarn,1
Angelico,1
Angeljays,1
Angels & Elephants,5
Angie's Studio Yarn,7
AngoraGarnet,2
AngoraOnline,2
Anilux,4
Anita Høegh,2
Anjas Farbtopf,1
Ankis design,1
Anko,2
Ann Collins Textile Design,2
Ann Riegler Zauberhaft Handgemacht,1
Anna & Juan,3
Annabel Williams,5
Annabelle Yarns,1
Annabelle's Collections,1
Annadele Alpacas,2
Annell,9
Annette Petavy Design,5
Annie Paaren,1
Annie's Hook & Needle Kit Club,4
Anny Blatt,12
Annás Kertje,1
Another Crafty Girl,3
Anttila,4
Anzula,3
Apothecary Yarns,5
Apothefaery Fabrications,3
Appalachian Baby Design,3
Appalachian Sock Co.,1
Apple Fiber Studio,3
Apple Hill Farm,1
Apple Tree Knits,9
AppleOak FiberWorks,4
AppleSpice,4
Appletons,2
Apricate Yarn,1
Apu Kuntur,4
AquiLANA,1
Aragon Yarn,1
Aran Sweater Market,2
Aran Woollen Mills,2
Araucania,14
Arcane Fibre Works,1
ArcoIris Yarns,5
Arctic Banana,1
Arctic Krafts,3
Arctic Qiviut,2
Arctic Yarns,3
ArcticCrafts,3
Ardalanish,3
Ardelaine,8
Ardilanak,1
Area 51 Fibres,1
Arelan SA,2
Ariadna,7
Ariadne,1
Ariadne Yarns & Fiber,1
Arkaik Fibres,5
ArkansasYarnCo,4
Armscote Manor,3
Arnica,2
Arrow Acres Farms,2
Arrowhead Fibers,2
Art Atlas,1
Art of Xen,2
ArtFil,6
Artefil S.L.,2
Artemis Yarns,2
Artigina,2
Artimoda,1
Artisan Yarns,3
Artisanal Yarns,4
Artisanthropy Yarns,2
Artist's Palette Yarns,5
Artiste,6
Artistic Lilly,2
Artistic Wire,6
Artsygal,2
Artyarns,23
Arvita,1
Arwen Makes,2
Ash and Bumble,3
Ash and Eve Designs,1
Ash and Oak Yarn,2
Ashabee's Fiber Oasis,1
Ashford,7
Ashland Bay,5
Ashley's Crochet,1
Ashton Studio Arts,6
Askeladen,4
Aslan Trends,10
Aspen Moon Arts,1
Aster & Vine,1
Aster Fiber Company,1
Astraea Meris,2
Astral Bath Yarns,11
Astrid's Stränge,1
Astro Dye Works,2
Asylum Fibers,8
At Bullard Farm,2
Atelier,6
Atelier BaliBouD,4
Atelier Garance,1
Atelier Pure Laine,2
Atelier Seide und Mehr,6
Atelier Sopra,1
Atelier Yarn,1
Atelier Zauberelfe,6
Atelje Norrgården,3
Athlone Farm,1
Atlantic Coast Yarns,1
Au Ver à Soie,1
Auahatia,1
Audine Wools,2
Aufburg,4
Augustbird,3
Aunt Lydia's,4
Auntie Boo,2
Aurinkokehrä,3
Aurora Silk,1
Aurora Yarns of Alaska,2
Austermann,17
Australian Alpaca Barn,1
Australian Alpaca Centre,1
Australian Alpaca Connection,1
Australian Country Spinners,2
Australian Tapestry Workshop,1
Autumn House Farm,8
Autumn Mist Alpaca Farm & Fiber Mill,1
Autumn and Indigo Fibers,11
Aux Laines des Saisons,1
Avalon Springs Farm,6
Avec,2
Aves Fiberworks,1
Aviva Leigh,1
Aya Fibers,6
Ayany,1
Ayda,1
Azimuth Ranch,1
Azzurro,1
B&M,3
BAERENWOLLE,4
BBB Filati,16
BC Garn,19
BCT,2
BMG Affinitas,6
BOHEI Artist Dyed Yarn,5
BaT'at Hand Dyed Yarns,5
Baa Baa Brighouse,3
Baa Bum Handknits,2
"Baa, Baa & Black Sheep",1
"Baad Mom Yarns, LLC",2
Baah Yarn,6
Baby Alpaga,1
Baby Bee,5
Babylonglegs,7
Backward Sheep Yarns,1
Backyard Fiberworks,8
Bad Amy Knits,9
Bad Kitty Yarns,1
Bad Lux Designs,2
Bad Sheep Yarn,3
Badass Yarn,1
Badma Yarns,1
Bagual,1
Bahia Art,1
Bakery Bears Cottage,1
Balitex Lanas Serf. S.A.,1
Ball and Skein,5
Ballet de France,1
Baltic Linen Designs,2
Bamboo Textiles,1
Banshee Dyes,1
BarberBlackSheep,2
Barcombe Romneys,1
Bare Naked Wools,24
Bare Sheep Yarn Company,5
Barka,4
Barker Wool,1
Barking Dog,3
Barn Owl Yarns,1
Barnyard Knits,3
Barnyardbiddy,1
Barrett Wool Co.,5
Bart & Francis,15
Bartlettyarns,12
Bashful Bags and Fibers,6
Battenkill Fibers,2
Bauana Hygge,1
Baudilaine,1
Bay Horse Yarn,4
Bay Ridge Dye Works,1
Bay Street Yarns,3
Baynoddy,1
Bayview Fiber Arts,2
Be Ewe Fibers,1
Be Sweet,3
Beach Bum Yarn Co.,4
Beach Bunny Yarns,1
Beachy Breeze Fibers,3
Beaker Button,1
Bear & Pants,8
Bear Farm,1
Bear in Sheep's Clothing,7
Bearhouse Alpacas,1
Beautiful Silks,1
Beauty Mark Yarn,1
Beaver State Yarn,2
Beaverslide Dry Goods,5
Becoming Art,10
Bedfordshire Wool Company,4
Beech Hill Farm,2
Beehive Yarns,2
Beemer Knits,7
Behind the Pines,1
Beijer,2
Bekend Kulør,1
Belday Home,9
Belfast Mini-Mills Ltd.,2
Belinda Harris-Reid,1
Belisa Cashmere,1
Bella,1
Bella Baby,12
Bella Betula,2
Bella Hand Dyed Yarn,2
Bella Soft Yarns,1
Bella Storia,1
BellaLana,4
BellaTrista,6
Belladonna Designs,1
Belle Vallée Wools,3
Bellelaine,1
Bellevue Park Wool,2
Bellissimo,6
Beloved Yarn,1
Bendigo Woollen Mills,22
Berger du Nord,5
Bergers Cathares,4
Bergå,2
Bergère de France,20
Berlinco Hand Dyed Yarn,2
Berlini,6
Bernat,73
Bernetta Wolle,17
Berroco,20
Berry Colorful Yarnings,3
Berry Fun Yarns,1
Berry Meadow,3
Berry Patch Creations,3
Bertagna Filati,6
Bessie May,4
Best Of Wool,1
Best Silky,1
BettaKnit,6
Betty and Belle,1
Bewitched Pigments,2
Beyond Basic Knits,6
BiElle Filati,1
Biches & Bûches,2
Biches et Bûches,1
Biella The Wool Company,1
Biella Yarn,3
Biemmeffe,1
Biffsugar Yarns,2
Big Bad Yarn,8
Big Goat Knits,1
Big Knit,1
Big Little Yarn Co.,4
Big Pine Yarn Company,1
Big Sky Yarn Co.,8
Big Twist,13
BigFootFibers,2
Bigfoot Yarn Company,3
Biggan Design,2
Bigmouth Yarns,1
Bilby Yarns,1
Billesberger,1
Biltmore Wool Barn,3
Bilum Hand Dyed Yarns,4
Bindestuen,1
Birch Creative,4
Birch Dyeworks,2
Birch Hollow Fibers,3
Birch Tree Fiber Arts Co,1
Birdies Knits,5
Birds Nest Yarns,2
Birkeland Bros. Wool,2
Biscotte Yarns,1
Biskvit,1
BitsyKnits,7
Bitter Buffalo Fiberworks,3
Bittersweet Woolery,2
Black Bat,7
Black Bunny Fibers,6
Black Cat Custom Yarn,3
Black Cat Fibers US,1
Black Cat Fibres UK,3
Black Diamond Alpacas,2
Black Elephant,8
Black Forest Yarn,4
Black Forest Yarns NZ,1
Black Hills New Zealand Wool - Naturally,1
Black Isle Yarns,12
Black Market Wool,1
Black Oveja,1
Black Pearl Yarns,1
Black Sheep Creamery Wool,4
Black Sheep Dyeworks,12
Black Stump Studio,1
Black Tulip Farms,1
Black Wolf Ranch,4
Blackberry Ridge,19
Blacker Yarns,26
Blarney Woollen Mills,2
Blarney Yarn,3
Blazing Needles,1
Bleating Art,3
Bleating Heart Haven,3
Bleu Poussière,2
Blissful Knits,7
Blockwallah,2
Blokker,1
Blonde Chicken Boutique,3
Blood Moon Alpacas,2
BloomingYarns,1
Bloomingdale Farm Angoras,1
Blossom + Fern Yarn Co.,1
Blossom Fibers,1
BluFiberCo,1
Blue Barn Fiber,3
Blue Cocoon Yarn,1
Blue Elephant Yarns,1
Blue Heron,14
Blue Highway Hand Dyes,1
Blue Hills Fibers,1
Blue Label Yarns and Crafts,2
Blue Moon Beads,1
Blue Moon Fiber Arts,21
Blue Moon Yarn,2
Blue Mule Fiber,2
Blue Ridge Silk Works,1
Blue Ridge Yarns,12
Blue Savannah,3
Blue Skin Yarns,3
Blue Sky Fibers,13
BlueBirdYarn,1
BlueDoxie Dyeworks,2
Blueball Mountain Spindle & Needleworks,1
Bluebell Yarns,1
Blueberry Farm Alpacas,1
Blueberry Pie Studio,3
Bluebonnet Hills Alpaca Ranch,9
Bluegrass Mills,2
Bluestocking Yarns,1
Bluff City Fiber Arts,3
Blush Fiber Co.,1
Bo Fibres,1
Bobbiny,2
Bobcat Alpacas,1
Bobilon,1
Bobolink Yarn,4
Bockens,15
Bodega Pastures,3
Bohemia Fibers,6
Boho Chic Fiber Co.,1
BohoKnitterChic Spins,2
Bolas de Tons,1
Bollekes,1
Bollicine,1
Bombshell Dyeworks,12
Bona Yarns,4
Bonbon,4
Bone and Birch Needleworks,1
Bonita Yarns,2
Bonkers Handmade Originals,4
Bordinheira AM,1
Borgo de' Pazzi,24
Borgo de' Pazzi Firenze,16
Borgs Vävgarner,8
Born in a Barn Fiber Arts,3
Boss Kitty,2
Boss Lady Yarn Co.,2
Botanical Fibres,4
Botanical Yarn,3
Botto Giuseppe,5
Botto Poala Coned Yarn,9
Bouclelaine,2
Bouton d'Or,6
Bovidae Farms,2
Bow Fiddle Yarns,1
Bowmont Braf,2
Boyes,4
Brambleberry Yarns,5
Bramwell,5
Bran'ds Farbtupferl,1
Bravo,4
Brazen Stitchery,2
Bre-Aly Threads,6
Breaking Yarn,3
Brediculous Yarns,6
Breezy Ridge Alpacas,1
Breigaren,1
Breipunt,2
Bremont,6
Brenda and Heather Yarns,5
Bretex,1
Brew City Yarns,5
Briar Patch New Zealand,3
Briar Rose Fibers,7
Brigadoon Fiber Farm,3
Brigantia Luxury Yarn,3
Briggs & Little,10
Bright Bellis,2
Bright Dyes,1
Brim Collections,2
Bristol County Dyeworks,2
British Breeds,11
British Wool,1
British Yarn,1
BrittyRaeKnits,3
Broadway Yarns,3
"Bronotta Yarns, LLC",4
Bronte Glen,1
Brookfarm Alpaca,1
Brooklyn Boy Knits,1
Brooklyn Handspun,4
Brooklyn Tweed,8
Brooks Farm Yarn,4
Brown Sheep,15
Brujeria Lana,1
Brynkir Woollen Factory,1
Buchanan Fiber Co.,1
Buckaloo View,5
Buckeye Farm,1
Bucks Meadow Alpaca Farm,1
Buckwheat Bridge Angoras,1
Budgetyarn,3
BuenaSuerte,1
Buffalo Wool Company,1
Bug and Mouse Fibers,1
Bugbear Woolens,2
Bulgaria-K JSC,1
Bumblebee Acres Farm,3
Bumblebirch,3
Bumbo,12
BunkyBoBos,3
BunnyBadger Fibers,6
Bunte Wolle,5
Buntwurm,4
Bunum,1
Burgis Brook Alpacas,2
Busse Wolle,1
Butik Rät & Avig,2
Butik Strik,2
Butterfly's Web,2
ButterflyBush Yarns,1
Butternut Woolens,3
Buttjebeyy,1
By Amalie,1
By Hands 元博,1
By sue MacBride,1
ByKopranen,1
ByNight Dyes,7
BzyPeach,2
Bärengarne,3
Bånsull,1
C & M Acres Alpaca Farm,2
C'Laines,3
C. M. Kirova,1
C.Whitney Knits,3
CEWEC,6
CJ Kopec Creations,3
COLORBOMB Creations,1
COULROPHOBIA,4
CSDye,4
CaMaRose,4
Cabin Fever,1
Cables & Lace,1
Cacoethes,1
Cactus Yarn Studio,2
Cajun Fiber Co.,1
Cake Wool Co.,2
Caledon Hills,2
California Cashmere Company,2
California Colorways,1
Call Me Sally Yarns,2
Camas Creek Yarn,1
Cambrian Mountains Wool CIC,2
Camel City Dyeworks,3
Camellia Fiber Company,6
Camelot Dyeworks,4
Cameo Yarns,4
Camilla Pihl,1
Camilla Vad,2
Camilla Valley Farm,5
CampColorYarns,1
Campfiber Yarns,2
Campolmi Roberto Filati,15
Camus Natural Wools,1
Canadian Ewe,1
Canan,5
Candy Apple Lane,5
Candy Coated Yarn,1
Candy Corn Yarns,1
Candy Hoeschen Fiber Artist,2
Candy Pants,1
Candy Shoppe Yarns,1
Candy Skein,4
Candy Wool,3
Candyflossyarn 棉花糖手染线,1
Canetta,2
Canguro Wool,1
Canon Hand Dyes,15
Cantering Crow Colorworks,1
CapLaine - La Boutique,2
Cape Cod Yarns,1
Cape May Fiber ™,3
Capistrano Fiber Arts Studio,1
Capricorn Yarns,1
Cardiff Cashmere,8
Cardigang,1
Caress Luxury Yarns,4
Cariaggi,11
Carlton Yarns,3
Carnival,7
Carodan Farm,3
Carolina Homespun,1
Caron,22
Carraig Donn,1
Carrefour,1
Carriage House Woolens,2
Carstarphen,1
Cartref Yarn,1
Casa Holandesa,1
Casa Rosa Farms,1
Casa del Filato,1
CasaGrande,1
CasaSol,13
Cascade Rose Alpacas,1
Cascade Yarns ®,63
Caserita,2
Cashmere Cave,1
Cashmere People Yarns,4
Cashmere Treats,1
Cashmeres by Kate,4
Cast on Castaway,1
Casual Fashion Queen,2
Cat & Sparrow Australia,1
Cat Mountain Fiber Arts,2
Cat Sandwich Fibers,3
Cat and Sparrow UK,2
Catawampus Farm,1
Catherine Earnshaw,1
Catherine Lowe Couture Yarns,5
Catnappin Indie Yarn,1
Catskill Merino,5
Cavyshops,3
CeCe's Wool,8
Ceallach Dyes,4
Cecily Grove Yarns,1
Cedar Hill Farm Company,3
Cedar House Yarns,3
Ceilidh House Farm,1
Celebi,2
Celebrate It,1
Celestial Strings,3
Celia's Basket,3
Century Miori ( 世纪美织),1
Cerro Mojino Woolworks,1
Cestari,10
ChainChix,1
Chaleur Hand Dyed Yarn,1
Changeling Coloured Yarns,3
Chaos Fiber Co,1
Chara Craft and Yarn,1
Charity (Saprotex),4
Charlie Button Yarns,2
Charlotte Lewis,2
Charlotte Yarn Hand Dyed,1
Charmed Yarns,1
Charmis,1
Chasing Rainbows Dyeworks,4
Chaska,1
Chelle Colorado,1
Chelsea Luxe,5
Cherry Blossom Fibers,2
Cherry Pie Cottage,1
Cherry Tree Hill Yarn,13
Cheryl Oberle,2
Chester Knits,3
Chester Wool Company,27
Chestnut Bay Fibers,1
Chestnut Cabin,1
ChevGirl Designs Yarn,1
Cheval Blanc Official,14
Chewy Spaghetti,4
Chiaroscuro Dye Lab,3
Chick (Saprotex),3
Chicken Coop Dyeworks,4
Chile Sheep Wool,1
ChileKnitz,1
Chili Gredelin,9
Chiltern,1
China Cashmere,1
Chinese Royal Yarns,1
Chipknits Fiber Co,2
Chopped Ginger Wool Project,4
Chopped Tomatoes,1
ChristalLK,1
Christel Seyfarth,2
Christelle Tricote,1
Christi's Choice,1
Christie Archer Design,2
Christopher Sheep Farm,4
Chroma Fiber,1
Chroma Yarns,4
Chromatic Yarns,2
Chromatique,2
Chromophore Yarns,1
Chrysalis Yarn Co.,3
Chuckanut Bay Yarns,2
Chumpling Crafts,1
Chunky Punky,1
Ciccoleto,1
Cigno Nero,6
Cinnabar Pink,1
Circle R Lamb,2
Circulo Yarns,44
Circus Tonic Handmade,8
Cisne,30
Citronille,2
Clan Stewart,1
Clara Falk,1
Clara Yarn,11
Clark & Elle,1
Classic Yarn,2
Claudia Hand Painted Yarns,9
Cleckheaton,3
Cleckheaton AYC,1
Clementine & Thread,1
Cleo Garn,4
Clifton Wool 'n' Things,1
Clinton Hill Cashmere Company,3
Cloud 9 Fiberworks,4
Cloud Forest Yarns,2
Cloudberry Yarns,1
Cloudlover Yarn & Fiber,2
Cloven Pine,1
Clover,2
Cloverdale Cottage,1
Cloverworks Farm,2
Club Tissus Solstice,1
Coach House Yarns,1
Coast to Coast Yarn Co.,8
Coastal Colours UK,2
Coastal Yarns,2
Coats,12
Coats Cucirini,1
Coats Fabra,1
Coats India,1
Coats Manila Bay,2
Cobb Cabin Crafts,1
Cobblestone Creek Farm,2
Cobun Creek Farm,1
Cocktail de Cores,2
Coco Alpacas,1
Coed Mawr Woolen Mill & EEC,1
Coeur d’Alene Yarns,1
Coffee with the Fool,1
Colagirl Collective,2
Coldharbour Mill,6
Colinette,8
Colinton Australia,3
Colleen's Crafts,1
Collier and Black,1
Colliston Yarns,1
Colonial Williamsburg,1
Color Craze Fiber,1
Color Dance Yarns,3
Color Notes Yarn,4
Color of the Moon,3
ColorJoy by LynnH,1
ColorPlay Fibers,1
ColorPurl,3
ColorShift,3
Colorado Yarns,2
Colorbug Yarns,3
Colorful Eclectic,2
Colorful Yarn,2
Colori naturali,2
Colorista,5
Colors to Dye For,1
Colosco Wool&Fibers,1
Colour Adventures,22
Colour Redefined,1
Colour Story Yarns,1
Colour by Me/tres/,1
ColourMart,286
ColourSpun Natural Designer Yarns,7
Colque,1
Comeragh Yarns and Fiber,1
Comfort Wool Co.,12
Comfort and Joy,1
Comfy Cozy Knits,3
Comma Chameleon Yarn Co.,5
Coniston Fibres Ltd,1
Conjure Yarns,2
Connemara Clothing Company,2
Connie Taylor,1
Convent and Chapel,1
Conversational Threads,1
Cookie A,2
Cookston Crafts,1
Coolree,5
Coonie's Wolle,6
CoonieKnits,6
Coop,4
Coop Danmark A/S,1
Copper Centaur Studios,2
Coproca Bolivia,2
Corna,2
Cornbread and Honey,5
Cornelia Hamilton Yarns,3
Cornish Organic Wool,2
Cornish Wools,1
Coron,1
Corralito Yarns,1
Coruja,1
Corvid Fiber Co.,1
Cosmic Fibers Yarn,6
Cosmic Strings,3
Cosmicpluto,1
Cosy Posy Yarn Co.,2
Cottage Craft Angora,3
Cottage Fiber,1
Cottage Knits,2
Cotton Clouds,4
Cotton Fields,1
Cotton House Store,2
Cotton Kings,10
Couleurs Mouton,4
Couleurs locales,1
Countess Ablaze,2
Country Mouse Yarns,2
Country Yarns,1
Countrywide Yarns,14
Cowgirlknitz,1
Coyote Trail Farm & Fiber Mill,1
Cozy Color Works,5
Crabapple Farm,1
Crabapple Yarns,2
Craft House Magic,1
Craft Me Knot Yarn Co.,3
Craft Smart,7
Craft.Two.Three,2
Crafternoon Treats,1
Crafters Choice,1
Crafters Square,2
Craftiss,1
Craftmax,2
Crafts,5
Crafts N Creations,1
CraftsMeow,2
Craftspun Yarns,1
Craftworks,10
Crafty Desires,1
Crafty Hippy,1
Crafty Housewife Yarns,1
Crafty Jak's Boutique,3
Crafty That Way,5
Crafty and Crap,1
Crafty in a Good Way,1
CraftyisCool,1
Cranberry Creek Fibers,1
Crash Into Ewe,1
Crave Yarn,2
Crazy Monkey Creations,6
Crea,1
Create Yarnworks,1
Create with Adlibris,17
Created 4U by Laura,2
Creating with Sticks,1
CreativLEI Made,3
Creative Anarchy Yarn,1
Creative Basics,2
Creative Corner,2
Creative Crafts Center,1
Creative Deva,1
Creative Ewe,1
Creative Fibres,1
Creative Place,1
Creative Yarns (NZ),1
Creative Yarns (UK),2
Creature Comfort Craftworks,3
Creek Gardens Crafts,1
Crelando,11
Cria,1
Cristal,1
Critical Sheep,1
Crochet Society,1
Crochet The Winter Hunter Yarns LLC,2
Crochet Treasures Yarn,1
CrochetObjet,1
Croché Estrela,1
Croft 29,1
Crookabeck Herdwicks,2
Crooked Kitchen Yarn,13
Crucci,19
Cruellas Natural Fibre Boutique,1
Crux Fibres,6
Crystal Yarn,1
Crystalskye's Hand Dyed,1
Crème de Laine,1
Créa Pecam,1
CréartLaine,5
Créations du Bochaine,1
Cucirini Tre Stelle,1
Cuddlebums,4
Culture Pop,1
Cup of Tea Yarn,2
Cuppa Yarn,1
Curated Yarn Co,1
Curious Creek Fibers,8
Cushendale Woollen Mills,1
Custom Woolen Mills Ltd,7
Cutthroat Yarn,7
Cygnet,23
DBNY,3
DMC,66
DSL Ltd.,1
DT Craft & Design,3
DY Choice,3
DYELOTS! fiber ART studio,1
DYS Homespun Yarns,1
Daffodil Road Artisan Yarns,1
Dahlia's Curls,1
Daily Fibers,1
Dainty Loops,1
Dairing,6
Daiso,25
Daisy Stitch Co,1
Dakine Dyes,1
Dale Garn,6
Dalmatinka,2
Damselfly Yarns,1
DanDoh Yarn,2
Dances With Yarns,2
Dancing Leaf Dyeworks,7
Dancing Skies Fiber Arts,4
Dandelion Knits,4
Dandelion Yarns,6
Dandelion and Dogwood,1
Dandelions & Daisies Fiber Arts,5
Daniela's Wolltopf,1
Danmore Hobby,1
Dapper Dreamer,2
Dapper Dye Works,7
Dark Harbour Yarn,3
Dark Horse Yarns,1
Dark Nights and Yarn Dreams,2
Dark Omen Yarn,3
Dark Yarns,1
Darlin' Dixie Knits,1
Darn Good Yarn,37
Darn Yarn MN,5
Darn-Knit NZ,3
Daruma,41
Das Goldene Vlies e.G.,1
Das Mondschaf,4
Das Schneeschaf,1
Das Strickzimmer,1
Das Wollschaf,17
Das bunte Vlies,1
Dashing Dachs,16
Datura Fiber Arts,2
Daughter of a Shepherd,4
David Grains,1
Dawn Orchid,3
Dawning Dreams,1
Daybreak Dyeworks,1
Daydream Dyeworks,1
Daydream Yarns,2
De Gildezusters,3
De Maille en Bas,1
De Origen Chile,1
De Rerum Natura,4
De Spinndönz,1
De Ullstee,1
DeSoto Bend Alpacas,1
Dear Husband,2
Debbie Bliss,17
Debbie Macomber Blossom Street Collection,3
DebbieDuckYarns,1
Debutante Yarns,2
Decadent Fibers,2
Decida,2
Deegu,1
Deep Creek Yarns,2
Deep Dyed Yarns,4
Defiknitly Yarns,1
Deichspinnerin,1
Deimatic Dyepot,1
Deitricks' Alpaca Ranch,1
Dekor Benker Textil,1
Delaware & Raritan,1
Delfino,1
Delfino Yarns,1
Delicious Yarns,24
Delicious Yarns by Angie,1
Delly's Delights Farm,4
Delteks,1
Deltex,5
Denys Brunton Designer Yarns,1
Department 71,7
Der-Wollschuppen,2
Deramores,7
Deranged Dyeworks,2
Desert Bloom Yarns,5
Desert Panda Fiber Arts,1
Desert Vista Dyeworks,6
Design Spun,1
Design.Club.DK,2
DesignEtte,4
Designs By Mamta,2
Despondent Dyes,6
Destination Yarn,6
Devilbunny Dyeworks,3
Devon Fine Fibres,3
Devon Sun Yarns,5
Dharma Trading Co,3
Di Gilpin,2
Diakeito,10
Diakonie WL,7
Diamond,8
Diamond Fibers,1
Diana Collection ダイアナコレクション,9
Dibadu,46
Dicentra Designs,3
Die Kleine Wollfabrik,4
Die Mercerie,1
Die WollLust,6
Die Wollnerin,3
Dimond Laine,2
Dingo Dyeworks,4
Dingolondangos Lanas,3
Direful Yarns,3
Dirty Water DyeWorks,5
DiscoBaby Knits,16
Disdero Ranch,1
Disma,1
Distelfink Fiber,2
Distinct Fibers,1
Distrifil,11
Dittany Dyes,1
Diva Iplik,2
Diversan,1
Divine Serenity,1
Dizzy Blonde Studios,2
Dizzy Lizzie's,1
Dizzy Wig Fibers,1
