gauge_divisor,grams,id,machine_washable,min_gauge,name,permalink,rating_average,rating_count,rating_total,texture,yardage,yarn_company_name,yarn_weight_id,yarn_weight_knit_gauge,yarn_weight_name,yarn_weight_ply,yarn_weight_wpi,texture_clean,fiber_type_animal_fiber,fiber_type_id,fiber_type_name,fiber_type_synthetic,fiber_type_vegetable_fiber
4,100,7687,TRUE,22,Special Double Knit,stylecraft-special-double-knit,4.56,5214,23772,plied,322,Stylecraft,11,22,DK,8,11,plied,FALSE,5,Acrylic,TRUE,FALSE
4,127,47698,TRUE,18,Impeccable,loops--threads-impeccable,3.91,6115,23908,plied,285,Loops & Threads,1,18,Aran,10,8,plied,FALSE,5,Acrylic,TRUE,FALSE
4,NA,35367,TRUE,20,Tosh DK,madelinetosh-tosh-dk,4.78,10291,49227,multi-ply,225,madelinetosh,11,22,DK,8,11,multi-ply,TRUE,24,Wool,FALSE,FALSE
4,57,819,TRUE,20,Sugar'n Cream Ombres,lily-sugarn-cream-ombres,4.2,6901,29017,piled,95,Lily,12,20,Worsted,10,9,piled,FALSE,1,Cotton,FALSE,TRUE
4,141,2060,TRUE,17,Super Saver Multis | Prints,red-heart-super-saver-multis--prints,3.6,5834,21028,cable plied,244,Red Heart,1,18,Aran,10,8,cable plied,FALSE,5,Acrylic,TRUE,FALSE
4,50,194,NA,14,Kureyon（くれよん）,noro-kureyon,4.19,10599,44427,2 z-twisted singles z-plied together,109,Noro,1,18,Aran,10,8,2 z-twisted singles z-plied together,TRUE,3,Wool,FALSE,FALSE
4,453,4425,TRUE,16,One Pound,caron-one-pound,3.88,4741,18383,plied,812,Caron,1,18,Aran,10,8,plied,FALSE,5,Acrylic,TRUE,FALSE
4,100,8053,TRUE,26,Tosh Sock,madelinetosh-tosh-sock,4.71,9036,42563,plied,395,madelinetosh,5,28,Fingering,4,14,plied,TRUE,24,Wool,FALSE,FALSE
4,141,4571,TRUE,17,Soft Solids & Heathers,red-heart-soft-solids--heathers,3.95,5715,22555,plied,256,Red Heart,1,18,Aran,10,8,plied,FALSE,5,Acrylic,TRUE,FALSE
4,NA,55637,TRUE,18,Tosh Vintage,madelinetosh-tosh-vintage,4.81,7813,37553,"smooth, plied",200,madelinetosh,12,20,Worsted,10,9,"smooth, plied",TRUE,24,Wool,FALSE,FALSE
4,50,12201,NA,18,Léttlopi,istex-lettlopi,4.5,6517,29309,singles,109,Ístex,1,18,Aran,10,8,singles,TRUE,3,Wool,FALSE,FALSE
4,50,3678,TRUE,18,Swish Worsted,knit-picks-swish-worsted,4.35,6584,28656,Plied,110,Knit Picks,12,20,Worsted,10,9,plied,TRUE,24,Wool,FALSE,FALSE
4,50,52662,TRUE,24,DROPS Baby Merino,garnstudio-drops-baby-merino,4.39,4560,20037,s-on-s plied,191,Garnstudio,10,24-26,Sport,5,12,s-on-s plied,TRUE,24,Wool,FALSE,FALSE
4,50,3847,NA,32,Lace,malabrigo-yarn-lace,4.53,8593,38890,single,470,Malabrigo Yarn,7,32-34,Lace,2,NA,single,TRUE,24,Wool,FALSE,FALSE
4,50,392,NA,28,Painter's Palette Premium Merino (KPPPM),koigu-painters-palette-premium-merino-kpppm,4.68,7808,36541,plied,175,Koigu,5,28,Fingering,4,14,plied,TRUE,24,Wool,FALSE,FALSE
4,146,3248,TRUE,32,Socks that Rock Lightweight,blue-moon-fiber-arts-socks-that-rock-lightweight,4.66,5418,25252,plied,405,Blue Moon Fiber Arts,5,28,Fingering,4,14,plied,TRUE,24,Wool,FALSE,FALSE
4,142,105146,TRUE,12,Heartland,lion-brand-heartland,4.28,5056,21664,plied,251,Lion Brand,1,18,Aran,10,8,plied,FALSE,5,Acrylic,TRUE,FALSE
4,227,4261,NA,16,Fishermen's Wool,lion-brand-fishermens-wool,4.09,5715,23390,plied,465,Lion Brand,1,18,Aran,10,8,plied,TRUE,3,Wool,FALSE,FALSE
4,454,5456,TRUE,19,Pound of Love,lion-brand-pound-of-love,3.93,4251,16701,"smooth, plied",1020,Lion Brand,12,20,Worsted,10,9,"smooth, plied",FALSE,5,Acrylic,TRUE,FALSE
4,140,834,TRUE,22,"Softee Baby, Solids & Marls",bernat-softee-baby-solids--marls,3.92,5176,20307,plied,362,Bernat,11,22,DK,8,11,plied,FALSE,5,Acrylic,TRUE,FALSE
4,100,74654,TRUE,20,Arroyo,malabrigo-yarn-arroyo,4.79,6838,32762,plied,334,Malabrigo Yarn,10,24-26,Sport,5,12,plied,TRUE,24,Wool,FALSE,FALSE
4,100,34471,TRUE,18,I Love This Cotton!,hobby-lobby-i-love-this-cotton,4.49,4027,18096,plied,180,Hobby Lobby,1,18,Aran,10,8,plied,FALSE,1,Cotton,FALSE,TRUE
4,150,46836,NA,8,Rasta,malabrigo-yarn-rasta,4.82,6487,31268,single ply slightly felted with a twist,90,Malabrigo Yarn,6,7-12,Super Bulky,NA,5-6,single ply slightly felted with a twist,TRUE,24,Wool,FALSE,FALSE
4,250,2833,NA,14,Ecological Wool®,cascade-yarns-ecological-wool,4.47,6276,28050,plied,478,Cascade Yarns ®,4,14-15,Bulky,12,7,plied,TRUE,3,Wool,FALSE,FALSE
1,300,4800,TRUE,8,Lace Garn,rohrspatz--wollmeise-lace-garn,4.78,3064,14645,plied,1722,Rohrspatz & Wollmeise,7,32-34,Lace,2,NA,plied,TRUE,24,Wool,FALSE,FALSE
4,50,13885,TRUE,22,Swish DK,knit-picks-swish-dk,4.38,4832,21144,plied,123,Knit Picks,11,22,DK,8,11,plied,TRUE,24,Wool,FALSE,FALSE
1,100,85579,TRUE,4.5,Brava Worsted,knit-picks-brava-worsted,4.32,3036,13117,plied,219,Knit Picks,12,20,Worsted,10,9,plied,FALSE,5,Acrylic,TRUE,FALSE
4,50,2694,TRUE,21,DROPS Karisma,garnstudio-drops-karisma,4.14,4031,16691,plied,109,Garnstudio,11,22,DK,8,11,plied,TRUE,3,Wool,FALSE,FALSE
4,100,842,TRUE,18,Satin Solids,bernat-satin-solids,3.85,4281,16471,plied,200,Bernat,1,18,Aran,10,8,plied,FALSE,5,Acrylic,TRUE,FALSE
4,50,25852,TRUE,21,DROPS Merino Extra Fine,garnstudio-drops-merino-extra-fine,4.34,3486,15141,"smooth, s-on-s",115,Garnstudio,11,22,DK,8,11,"smooth, s-on-s",TRUE,24,Wool,FALSE,FALSE
1,50,68219,NA,4.25,Shelter,brooklyn-tweed-shelter,4.39,5554,24379,NA,140,Brooklyn Tweed,12,20,Worsted,10,9,NA,TRUE,3,Wool,FALSE,FALSE
4,113,3900,TRUE,18,Classy,dream-in-color-classy,4.63,5289,24484,plied,250,Dream in Color,12,20,Worsted,10,9,plied,TRUE,24,Wool,FALSE,FALSE
4,100,62509,TRUE,11,Charisma,loops--threads-charisma,4.13,3900,16111,plied,109,Loops & Threads,4,14-15,Bulky,12,7,plied,FALSE,5,Acrylic,TRUE,FALSE
4,80,3941,TRUE,33,Classic Crochet Size 10,aunt-lydias-classic-crochet-size-10,4.51,2748,12402,plied,350,Aunt Lydia's,9,NA,Thread,NA,NA,plied,FALSE,1,Cotton,FALSE,TRUE
4,142,53571,TRUE,9,Hometown,lion-brand-hometown,4.07,4233,17214,plied,81,Lion Brand,6,7-12,Super Bulky,NA,5-6,plied,FALSE,5,Acrylic,TRUE,FALSE
4,150,151311,NA,22,Mandala,lion-brand-mandala,4.42,3425,15138,plied,590,Lion Brand,11,22,DK,8,11,plied,FALSE,5,Acrylic,TRUE,FALSE
4,50,874,TRUE,20,Handicrafter Cotton Solids,bernat-handicrafter-cotton-solids,4.1,2456,10072,plied,80,Bernat,12,20,Worsted,10,9,plied,FALSE,1,Cotton,FALSE,TRUE
4,198,78743,TRUE,16,With Love Solids,red-heart-with-love-solids,4.26,2756,11750,smooth,370,Red Heart,1,18,Aran,10,8,smooth,FALSE,5,Acrylic,TRUE,FALSE
4,100,56996,TRUE,22,Ultra Pima,cascade-yarns-ultra-pima,4.6,5043,23188,plied,220,Cascade Yarns ®,11,22,DK,8,11,plied,FALSE,1,Cotton,FALSE,TRUE
4,25,7916,NA,30,Shetland Spindrift,jamiesons-of-shetland-shetland-spindrift,4.66,3751,17464,plied,115,Jamieson's of Shetland,5,28,Fingering,4,14,plied,TRUE,3,Wool,FALSE,FALSE
4,100,810,NA,14,Wool Clasica,manos-del-uruguay-wool-clasica,4.35,5158,22422,handspun singles,138,Manos del Uruguay,1,18,Aran,10,8,handspun singles,TRUE,3,Wool,FALSE,FALSE
4,250,17692,NA,14,Eco+,cascade-yarns-eco,4.43,4277,18927,plied,478,Cascade Yarns ®,4,14-15,Bulky,12,7,plied,TRUE,3,Wool,FALSE,FALSE
4,100,65153,NA,16,Organic Cotton (Worsted),blue-sky-fibers-organic-cotton-worsted,4.57,2053,9375,plied loosely,150,Blue Sky Fibers,1,18,Aran,10,8,plied loosely,FALSE,1,Cotton,FALSE,TRUE
4,25,737,NA,28,2ply Jumper Weight,jamieson--smith-2ply-jumper-weight,4.77,3293,15696,plied,126,Jamieson & Smith,5,28,Fingering,4,14,plied,TRUE,3,Wool,FALSE,FALSE
4,113,6682,NA,17,Shepherd's Wool Worsted,stonehedge-fiber-mill-shepherds-wool-worsted,4.74,3604,17090,"plied, worsted spun",250,Stonehedge Fiber Mill,1,18,Aran,10,8,"plied, worsted spun",TRUE,24,Wool,FALSE,FALSE
1,100,76745,TRUE,4.5,Dishie Solids,knit-picks-dishie-solids,4.61,2200,10145,plied,190,Knit Picks,12,20,Worsted,10,9,plied,FALSE,1,Cotton,FALSE,TRUE
4,150,3254,TRUE,26,Jitterbug 400,colinette-jitterbug-400,4.44,4542,20181,plied,400,Colinette,10,24-26,Sport,5,12,plied,TRUE,24,Wool,FALSE,FALSE
1,227,36329,TRUE,5.25,Yowza,miss-babs-yowza,4.82,3364,16222,plied,560,Miss Babs,11,22,DK,8,11,plied,TRUE,24,Wool,FALSE,FALSE
4,170,6590,TRUE,28,Socks that Rock Mediumweight,blue-moon-fiber-arts-socks-that-rock-mediumweight,4.68,3697,17318,Plied,405,Blue Moon Fiber Arts,10,24-26,Sport,5,12,plied,TRUE,24,Wool,FALSE,FALSE
4,100,127348,TRUE,26,Mechita,malabrigo-yarn-mechita-2,4.76,3889,18513,single,420,Malabrigo Yarn,5,28,Fingering,4,14,single,TRUE,24,Wool,FALSE,FALSE
4,57,16082,TRUE,20,Sugar'n Cream Stripes,lily-sugarn-cream-stripes,4.19,3376,14146,"4 single plies, S-plied, non-mercerized",95,Lily,12,20,Worsted,10,9,"4 single plies, s-plied, non-mercerized",FALSE,1,Cotton,FALSE,TRUE
4,100,3480,NA,14,Chunky,malabrigo-yarn-chunky,4.8,4109,19719,NA,100,Malabrigo Yarn,4,14-15,Bulky,12,7,NA,TRUE,24,Wool,FALSE,FALSE
4,200,94256,TRUE,22,Merino DK,rohrspatz--wollmeise-merino-dk,4.83,2084,10071,plied,468,Rohrspatz & Wollmeise,11,22,DK,8,11,plied,TRUE,24,Wool,FALSE,FALSE
4,150,3498,NA,23,Wool 8/2 Effektgarn,kauni-wool-8-2-effektgarn,4.19,3727,15604,plied,656,Kauni,10,24-26,Sport,5,12,plied,TRUE,3,Wool,FALSE,FALSE
1,50,83703,NA,6,Loft,brooklyn-tweed-loft,4.35,3654,15890,NA,275,Brooklyn Tweed,5,28,Fingering,4,14,NA,TRUE,3,Wool,FALSE,FALSE
4,50,731,TRUE,28,Baby Ull,dale-garn-baby-ull,4.35,2762,12017,plied,180,Dale Garn,5,28,Fingering,4,14,plied,TRUE,24,Wool,FALSE,FALSE
4,100,101832,TRUE,11,Mecha,malabrigo-yarn-mecha,4.8,3571,17145,singles,130,Malabrigo Yarn,4,14-15,Bulky,12,7,singles,TRUE,24,Wool,FALSE,FALSE
4,100,53266,TRUE,14,128 Superwash®,cascade-yarns-128-superwash,4.47,3710,16583,plied,128,Cascade Yarns ®,4,14-15,Bulky,12,7,plied,TRUE,24,Wool,FALSE,FALSE
4,110,19574,TRUE,28,Yummy 2-Ply,miss-babs-yummy-2-ply,4.8,3060,14696,plied,400,Miss Babs,5,28,Fingering,4,14,plied,TRUE,24,Wool,FALSE,FALSE
4,50,66125,TRUE,22,220 Superwash® Sport,cascade-yarns-220-superwash-sport,4.3,3329,14312,plied,136,Cascade Yarns ®,10,24-26,Sport,5,12,plied,TRUE,24,Wool,FALSE,FALSE
4,200,14267,TRUE,14,Marble Chunky,james-c-brett-marble-chunky,4.22,3363,14183,Plied,341,James C. Brett,4,14-15,Bulky,12,7,plied,FALSE,5,Acrylic,TRUE,FALSE
4,100,134119,NA,28,Skinny Singles,hedgehog-fibres-skinny-singles,4.76,2717,12936,singles,400,Hedgehog Fibres,5,28,Fingering,4,14,singles,TRUE,24,Wool,FALSE,FALSE
4,100,65374,NA,18,Maxima,manos-del-uruguay-maxima,4.72,3615,17065,singles,218,Manos del Uruguay,12,20,Worsted,10,9,singles,TRUE,24,Wool,FALSE,FALSE
4,50,2706,TRUE,17,DROPS Paris,garnstudio-drops-paris,4.07,2097,8532,"smooth, plied",82,Garnstudio,1,18,Aran,10,8,"smooth, plied",FALSE,1,Cotton,FALSE,TRUE
4,100,85580,TRUE,24,Brava Sport,knit-picks-brava-sport,4.17,1923,8027,NA,340,Knit Picks,10,24-26,Sport,5,12,NA,FALSE,5,Acrylic,TRUE,FALSE
4,100,2426,NA,20,Galway Worsted,plymouth-yarn-galway-worsted,4.33,2688,11643,plied,210,Plymouth Yarn,12,20,Worsted,10,9,plied,TRUE,3,Wool,FALSE,FALSE
1,NA,102622,TRUE,5,Dyed in the Wool,spincycle-yarns-dyed-in-the-wool,4.74,2696,12769,plied,200,Spincycle Yarns,10,24-26,Sport,5,12,plied,TRUE,3,Wool,FALSE,FALSE
4,100,4022,NA,20,"Classic Wool Solids, Heathers & Marls",ella-rae-classic-wool-solids-heathers--marls,4.2,2498,10494,plied,219,Ella Rae,12,20,Worsted,10,9,plied,TRUE,3,Wool,FALSE,FALSE
4,100,7862,NA,13,Álafosslopi,istex-alafosslopi,4.44,2642,11719,two plies loosely plied together,109,Ístex,4,14-15,Bulky,12,7,two plies loosely plied together,TRUE,3,Wool,FALSE,FALSE
4,100,111722,TRUE,20,Pure Wool Superwash Worsted,rowan-pure-wool-superwash-worsted,4.36,2578,11236,plied,219,Rowan,12,20,Worsted,10,9,plied,TRUE,3,Wool,FALSE,FALSE
4,50,2708,NA,24,DROPS Safran,garnstudio-drops-safran,4.34,2016,8743,"plied, s-twist, s-on-s construction",175,Garnstudio,10,24-26,Sport,5,12,"plied, s-twist, s-on-s construction",FALSE,1,Cotton,FALSE,TRUE
4,100,36675,TRUE,26,Lace Merino,ella-rae-lace-merino,4.64,3224,14952,plied,460,Ella Rae,13,32,Light Fingering,3,NA,plied,TRUE,24,Wool,FALSE,FALSE
4,100,67291,TRUE,18,"Everyday Worsted Solids, Marls & Heathers",premier-yarns-everyday-worsted-solids-marls--heathers,4.35,1984,8636,plied,180,Premier Yarns,1,18,Aran,10,8,plied,FALSE,5,Acrylic,TRUE,FALSE
1,100,2847,NA,5,Nature Spun,brown-sheep-nature-spun,4.33,2118,9175,plied,245,Brown Sheep,12,20,Worsted,10,9,plied,TRUE,3,Wool,FALSE,FALSE
1,50,2967,TRUE,5,Cotton Classic,tahki-yarns-cotton-classic,4.35,2704,11772,cable plied,108,Tahki Yarns,12,20,Worsted,10,9,cable plied,FALSE,1,Cotton,FALSE,TRUE
4,42,875,TRUE,20,Handicrafter Cotton Ombres & Prints,bernat-handicrafter-cotton-ombres--prints,4.2,1478,6209,plied,68,Bernat,12,20,Worsted,10,9,plied,FALSE,1,Cotton,FALSE,TRUE
4,170,6650,TRUE,18,Simply Soft Brites,caron-simply-soft-brites,4.04,2056,8305,plied,315,Caron,1,18,Aran,10,8,plied,FALSE,5,Acrylic,TRUE,FALSE
4,100,95303,NA,17,Gilliatt,de-rerum-natura-gilliatt,4.78,2341,11195,plied,273,De Rerum Natura,12,20,Worsted,10,9,plied,TRUE,24,Wool,FALSE,FALSE
1,50,64832,NA,6,Chickadee,quince--co-chickadee,4.79,2835,13568,plied,181,Quince & Co.,10,24-26,Sport,5,12,plied,TRUE,3,Wool,FALSE,FALSE
4,50,718,NA,24,Grace,patons-north-america-grace,4.26,2369,10093,plied,136,Patons North America,10,24-26,Sport,5,12,plied,FALSE,1,Cotton,FALSE,TRUE
4,100,6194,NA,12,Wool of the Andes Bulky,knit-picks-wool-of-the-andes-bulky,4.25,2426,10320,plied,137,Knit Picks,4,14-15,Bulky,12,7,plied,TRUE,3,Wool,FALSE,FALSE
4,100,27426,TRUE,22,Bonus DK,hayfield-bonus-dk,4.07,1290,5247,plied,306,Hayfield,11,22,DK,8,11,plied,FALSE,5,Acrylic,TRUE,FALSE
4,50,71341,NA,24,Wool of the Andes Sport,knit-picks-wool-of-the-andes-sport,4.35,1814,7894,Plied,137,Knit Picks,10,24-26,Sport,5,12,plied,TRUE,3,Wool,FALSE,FALSE
1,50,143118,NA,5,Woolstok Worsted,blue-sky-fibers-woolstok-worsted,4.76,2509,11950,plied,123,Blue Sky Fibers,12,20,Worsted,10,9,plied,TRUE,3,Wool,FALSE,FALSE
NA,50,1732,NA,NA,Shadow,knit-picks-shadow,4.34,2534,10991,plied,440,Knit Picks,7,32-34,Lace,2,NA,plied,TRUE,24,Wool,FALSE,FALSE
4,50,66124,NA,22,Cascade 220® Sport,cascade-yarns-cascade-220-sport,4.4,2361,10383,plied,164,Cascade Yarns ®,10,24-26,Sport,5,12,plied,TRUE,3,Wool,FALSE,FALSE
4,115,74812,TRUE,30,La Jolla,baah-yarn-la-jolla,4.76,2204,10485,plied,400,Baah Yarn,5,28,Fingering,4,14,plied,TRUE,24,Wool,FALSE,FALSE
4,170,134483,TRUE,18,Value Solids,big-twist-value-solids,4.16,1092,4545,plied,380,Big Twist,1,18,Aran,10,8,plied,FALSE,5,Acrylic,TRUE,FALSE
1,50,64830,NA,4.5,Lark,quince--co-lark,4.72,2432,11481,smooth,134,Quince & Co.,12,20,Worsted,10,9,smooth,TRUE,3,Wool,FALSE,FALSE
4,100,49,NA,7.5,Big Wool,rowan-big-wool,4.32,2817,12164,plied,87,Rowan,6,7-12,Super Bulky,NA,5-6,plied,TRUE,24,Wool,FALSE,FALSE
1,NA,61096,TRUE,5,Tosh Sport,madelinetosh-tosh-sport,4.76,2378,11316,smooth,270,madelinetosh,10,24-26,Sport,5,12,smooth,TRUE,24,Wool,FALSE,FALSE
4,100,55476,TRUE,20,Worsted Merino Superwash Solids,plymouth-yarn-worsted-merino-superwash-solids,4.49,2175,9765,plied,218,Plymouth Yarn,12,20,Worsted,10,9,plied,TRUE,24,Wool,FALSE,FALSE
4,50,888,TRUE,22,Smart,sandnes-garn-smart,4.07,1281,5217,plied,109,Sandnes Garn,11,22,DK,8,11,plied,TRUE,3,Wool,FALSE,FALSE
4,50,2710,TRUE,20,DROPS Muskat,garnstudio-drops-muskat,4.06,1831,7427,plied,109,Garnstudio,11,22,DK,8,11,plied,FALSE,1,Cotton,FALSE,TRUE
4,100,22625,NA,12,Baby Alpaca Grande,plymouth-yarn-baby-alpaca-grande,4.6,2986,13724,Plied,110,Plymouth Yarn,4,14-15,Bulky,12,7,plied,TRUE,14,Alpaca,FALSE,FALSE
4,100,4235,NA,19,Plötulopi – Unspun Icelandic,istex-plotulopi-unspun-icelandic,4.59,1455,6673,pencil roving,328,Ístex,12,20,Worsted,10,9,pencil roving,TRUE,3,Wool,FALSE,FALSE
4,50,131014,TRUE,26,Catona,scheepjes-catona,4.77,1339,6381,plied,138,Scheepjes,5,28,Fingering,4,14,plied,FALSE,1,Cotton,FALSE,TRUE
4,100,89624,TRUE,11,Softee Chunky Solids (Super Bulky),bernat-softee-chunky-solids-super-bulky,4.07,1737,7062,plied,108,Bernat,6,7-12,Super Bulky,NA,5-6,plied,FALSE,5,Acrylic,TRUE,FALSE
4,50,12957,NA,28,Premium Merino (KPM),koigu-premium-merino-kpm,4.62,2332,10766,Plied,175,Koigu,5,28,Fingering,4,14,plied,TRUE,24,Wool,FALSE,FALSE
4,50,106568,TRUE,26,Catania Solids,schachenmayr-catania-solids,4.69,1086,5097,plied,137,Schachenmayr,10,24-26,Sport,5,12,plied,FALSE,1,Cotton,FALSE,TRUE
4,50,82243,NA,28,Cascade 220® Fingering,cascade-yarns-cascade-220-fingering,4.3,1754,7541,plied,273,Cascade Yarns ®,13,32,Light Fingering,3,NA,plied,TRUE,3,Wool,FALSE,FALSE
4,350,30468,TRUE,22,Baby Sport Solids & Marls,bernat-baby-sport-solids--marls,4.06,1437,5835,"smooth, 3 ply, S-twist",1255,Bernat,11,22,DK,8,11,"smooth, 3 ply, s-twist",FALSE,5,Acrylic,TRUE,FALSE
4,85,37747,TRUE,18,I Love This Cotton! Print,hobby-lobby-i-love-this-cotton-print,4.57,1581,7219,Plied,153,Hobby Lobby,1,18,Aran,10,8,plied,FALSE,1,Cotton,FALSE,TRUE
4,50,168,TRUE,19,Handknit Cotton,rowan-handknit-cotton,4.33,2119,9185,plied,93,Rowan,12,20,Worsted,10,9,plied,FALSE,1,Cotton,FALSE,TRUE
4,50,2683,NA,17,DROPS Alaska,garnstudio-drops-alaska,4.23,1798,7610,plied,77,Garnstudio,1,18,Aran,10,8,plied,TRUE,3,Wool,FALSE,FALSE
4,50,2866,NA,24,Nature Spun Sport,brown-sheep-nature-spun-sport,4.33,1765,7642,plied,184,Brown Sheep,10,24-26,Sport,5,12,plied,TRUE,3,Wool,FALSE,FALSE
4,141,28024,TRUE,18,Simply Soft Paints,caron-simply-soft-paints,4.13,1778,7343,smooth plied,235,Caron,1,18,Aran,10,8,smooth plied,FALSE,5,Acrylic,TRUE,FALSE
4,141,47697,TRUE,22,Snuggly Wuggly,loops--threads-snuggly-wuggly,3.98,1479,5893,plied,446,Loops & Threads,11,22,DK,8,11,plied,FALSE,5,Acrylic,TRUE,FALSE
1,100,85581,TRUE,3,Brava Bulky,knit-picks-brava-bulky,4.16,1516,6308,plied,136,Knit Picks,4,14-15,Bulky,12,7,plied,FALSE,5,Acrylic,TRUE,FALSE
4,300,112184,TRUE,8,Blanket,bernat-blanket,4.29,1330,5711,chenille,220,Bernat,6,7-12,Super Bulky,NA,5-6,chenille,FALSE,6,Polyester,TRUE,FALSE
4,50,1722,TRUE,23,Zara,filatura-di-crosa-zara,4.48,2203,9861,plied,137,Filatura Di Crosa,11,22,DK,8,11,plied,TRUE,24,Wool,FALSE,FALSE
1,50,108814,TRUE,4.5,Wool of the Andes Superwash,knit-picks-wool-of-the-andes-superwash,4.13,1347,5557,plied,110,Knit Picks,12,20,Worsted,10,9,plied,TRUE,3,Wool,FALSE,FALSE
4,100,396,NA,12,Chunky,misti-alpaca-chunky,4.61,2556,11794,plied,108,Misti Alpaca,6,7-12,Super Bulky,NA,5-6,plied,TRUE,14,Alpaca,FALSE,FALSE
4,50,92857,TRUE,17,DROPS Big Merino,garnstudio-drops-big-merino,4.33,1466,6344,"smooth, springy, s-on-s plied",82,Garnstudio,1,18,Aran,10,8,"smooth, springy, s-on-s plied",TRUE,24,Wool,FALSE,FALSE
4,197,98933,TRUE,18,Super Value Solids (New),bernat-super-value-solids-new,4.13,899,3709,plied,440,Bernat,1,18,Aran,10,8,plied,FALSE,5,Acrylic,TRUE,FALSE
NA,50,1757,NA,NA,Alpaca Cloud Lace,knit-picks-alpaca-cloud-lace,4.37,2054,8979,plied,440,Knit Picks,7,32-34,Lace,2,NA,plied,TRUE,14,Alpaca,FALSE,FALSE
4,300,67714,TRUE,8,Baby Blanket,bernat-baby-blanket,4.28,1660,7098,chenille,220,Bernat,6,7-12,Super Bulky,NA,5-6,chenille,FALSE,6,Polyester,TRUE,FALSE
4,50,110324,NA,22,Ulysse,de-rerum-natura-ulysse,4.76,1707,8125,plied,202,De Rerum Natura,10,24-26,Sport,5,12,plied,TRUE,24,Wool,FALSE,FALSE
