yarn_company_name,n
Alioop Hand Dyed Wool,1
Alisha Goes Around,29
Alison & Mae,37
Alive With Purpose,3
Alize,145
Alkena,1
All Dyed Up! Fibres,4
All Points North Yarn Co.,4
All Spun Up,18
All Strings Considered,1
All The Pretty Fibers,1
All Things Heather,7
All Things Nice,1
All Things You,5
All Ways Wild & Wooly,1
All Wool That Ends Wool Handdyed,5
All You Knit is Love,9
All for Yarn,2
Allegheny Fiber Arts,3
Alley Cat Yarns,9
Allicats Designs,7
Alligator Knits,10
Allison Barnes Yarn,8
Allpa Fibers,1
Almacén Litoral,1
Almedahls,6
Almonde,2
Aloha Yarn Dyeworks,2
AlohaBlu,7
Alondra Lanas,1
Along Avec Anna,3
Alpaca Acres Fine Yarns,5
Alpaca Allure,1
Alpaca Avenue,1
Alpaca Connection,1
Alpaca Direct,2
Alpaca Dreams,1
Alpaca Export,1
Alpaca Fiber Studio,2
Alpaca Links,1
Alpaca Loft,1
Alpaca Naturally,2
Alpaca Pete's Imports,1
Alpaca Plus,1
Alpaca Prairie Fibers,1
Alpaca Select,5
Alpaca Time,3
Alpaca Tracks Thread Lightly,1
Alpaca Ultimate,4
Alpaca Ware,3
Alpaca Warehouse,6
Alpaca Yarns,1
Alpaca Yarns New Zealand,7
Alpaca of Sweden,6
Alpaca'Ekekos,1
AlpacaKindredSouls,1
Alpacas Hispanicas,1
Alpacas at Lone Ranch,1
Alpacas d'Auxvasse,9
Alpacas of Breezy Hill Ranch,1
Alpacas of Ireland,1
Alpacas of Misty Ridge,1
Alpacas of Newfoundland,1
Alpacas of Oregon,1
Alpacas of Prairie Station,2
Alpacas of Snowdonia,1
Alpacas of Wildcat Hollow,3
Alpacas of the Ark,1
Alpacas of the Coast,3
Alpacas of the Heartland,1
Alpagas Charlevoix,1
Alpaka Exklusiv,1
Alpakkahuset,2
Alpenglow Yarn,8
Alpes S.p.A,4
Alpha B Yarn,9
Alpina,33
Alps (阿尔卑斯),2
Also Comes in Pink,1
Altadena,1
Alte Ceccato art,1
Alte Künste,17
Altenburger Handarbeiten,2
Alter Ego,6
Altered Skeins,4
Altin Basak,11
Altin Yun,1
Altobish,6
Alvita,13
Alwan Sultan Fiber,2
Always & Forever Custom Creations,1
Always be Kind Yarn,8
Alwo,6
Aly Bee Workshop,1
Alysse Créations,5
Amagh,1
Amalia Blooms Fiberarts,2
Amana Woolen Mill,1
Amanda Hope Yarn,20
Amanda Makes Yarn,3
Amanda.Knits,6
Amano Yarns,23
Amaranth Fibres,1
Amazing Grace Farm,2
Amazing Graze Alpacas,1
Amazing Threads,2
Ambar Hilados,2
Amber Autumn Alpacas,1
Amber Waves Dye Studio,2
Amber's Yarn Shop,2
Amberyarn,1
Ambiance,1
Ambrosia Cottage,1
Ambrosia Yarns,1
Amelia and Wiggles,2
American Buffalo,2
American Cormo Sheep Association,1
American Ewe Yarn,2
American Hemp,1
Americo Original,31
Amgueddfa Wlân Cymru - National Wool Museum,1
AmiAmi,5
Amiable Alpacas,1
Amimonetto (あみもねっと),3
Amore Alpaca,1
Amores Yarn Studio,9
Ampersand Fibers,2
Amplifiber Yarn,1
Amy's Rainbow,4
Amyr0sesknits,1
An Act of Alchemy,1
An Caitin Beag,2
An Caitin Dubh,3
An Pucan,1
An Tuirne,1
Anandi,1
Anatolya Iplik,2
Anboshi,3
Ancestral Fiber Co,2
Anchor,47
Anchored Out Yarn Co.,1
Ancient Arts Fibre Crafts,21
Ancient Pathways,1
Ancient Threads,4
Ancient Treasures Alpaca Ranch,1
And Point,1
AndeanSun Yarns,9
Andeea Rae Fiber Art,1
Anders Mill,1
Andeylayne,2
Andi Pandi Crafts,2
Andora,1
Andre's Alpacas,2
AndreSueKnits,7
Andrea Yarn,1
AndromedaSockYarn,4
AnekaBenang,1
Anemone and Vine,1
Anette Eriksson,5
Anette's Wollwerkstatt,3
Ang'Auvergne,1
Angel Yarns,5
Angel's Kiss Alpaca Yarn,3
Angelato Yarn,2
Angelico,4
Angeline,1
Angeljays,1
Angels & Elephants,7
Angie's Studio Yarn,12
Angola,1
Angora Cottage,3
Angora Gardens,3
Angora de France,1
Angora des Neiges,1
AngoraGarnet,3
AngoraOnline,10
Angorella,1
Angorina,1
Angorpel,1
Anilux,29
Anita Høegh,2
AnitaYarn,7
Anjas Farbtopf,5
Ankis design,1
Anko,3
Ann Brezina,1
Ann Collins Textile Design,3
Ann Riegler Zauberhaft Handgemacht,6
Anna & Juan,3
Anna Belle,2
Annabel Williams,5
Annabelle,1
Annabelle Yarns,1
Annabelle's Collections,1
Annadele Alpacas,4
Anne-Lots,1
AnneMarie Walter,2
Annell,20
Annette Petavy Design,6
Annie Paaren,4
Annie Purl,1
Annie's Caring Crochet Club,1
Annie's Hook & Needle Kit Club,9
Anny Blatt,30
Annás Kertje,4
Another Crafty Girl,9
Anthology Yarn Co.,4
Anttila,8
Anzula,27
Apleks,1
Apocalypse Friday,2
Apothecary Yarns,16
Apothefaery Fabrications,12
Appalachian Baby Design,3
Appalachian Sock Co.,5
Apple (Turkish Yarn Co.),3
Apple Fiber Studio,8
Apple Hill Farm,3
Apple Laine,1
Apple Tree Knits,15
AppleOak FiberWorks,8
AppleSpice,5
Apples & Pears,1
Appletons,2
Apricate Yarn,5
Aptenoknits Yarn,2
Apu Kuntur,6
AquiLANA,1
Arachna,1
Aragon Yarn,1
Aran Sweater Market,2
Aran Woollen Mills,2
Araucania,29
Arbor Twist,3
Arcane Fibre Works,2
ArcoIris Yarns,24
Arctic Banana,1
Arctic Krafts,5
Arctic Qiviut,7
Arctic Yarns,5
ArcticCrafts,15
Ardalanish,3
Ardelaine,8
Ardilanak,6
Area 51 Fibres,2
Arelan SA,5
Areola,1
Argentic Creations,5
Argyle Fiber Mill,1
Ariadna,7
Ariadne,7
Ariadne Yarns & Fiber,3
Arkaik Fibres,9
ArkansasYarnCo,16
Arlyna's Closet,1
Armful of Wool,1
Armscote Manor,5
Armstrong,1
Arnall-Culliford Knitwear,1
Arnica,4
Arpa,1
Arrow Acres Farms,2
Arrowhead Fibers,7
Art & Alchemy Fiber Arts,1
Art Atlas,1
Art Box,1
Art By Eve,1
Art Club,2
Art Equals Happy,1
Art Fila,1
Art Talent,2
Art of Xen,8
ArtFil,11
ArtSkills,1
Artbeads,1
Arte 59,1
Arte Russia,3
Artefil S.L.,3
Artemis Yarns,7
Artfully Wrapped,4
Artigina,8
Artimoda,1
Arting Knitwear,1
Artisan Yarns,10
Artisanal Yarns,8
Artisanthropy Yarns,3
Artist's Palette Yarns,19
Artiste,8
Artistic Ewe,2
Artistic Lilly,9
Artistic Wire,9
Artistry Textiles Co. Ltd. (雅姿纺织有限公司),1
ArtistryYarns,1
Artland,1
Artsygal,4
Artyarns,60
Arvita,2
Arwen Makes,6
Arya Bark Yarns,1
Asena Tekstil,1
Ash and Bumble,6
Ash and Eve Designs,4
Ash and Oak Yarn,9
Ashabee's Fiber Oasis,5
Ashford,16
Ashland Bay,27
Ashley's Crochet,2
Ashton Studio Arts,17
Askeladen,8
Aslan Trends,26
Aspen Grove Farm,2
Aspen Moon Arts,1
Aster & Vine,2
Aster Fiber Company,3
Astra Design,1
Astraea Meris,6
Astral Bath Yarns,22
Astrid's Stränge,4
Astro Dye Works,2
Asylum Fibers,23
At Bullard Farm,12
Atelier,14
Atelier BaliBouD,6
Atelier Franziska Uhl,3
Atelier Garance,2
Atelier Handwerk,1
Atelier Pure Laine,2
Atelier Seide und Mehr,13
Atelier Sopra,9
Atelier Twine,4
Atelier Wol en Zijde,2
Atelier Yarn,1
Atelier Zauberelfe,24
Atelje Norrgården,3
Ateljé Margaretha,1
Athlone Farm,1
Atlantic Coast Yarns,3
Atomic City Fibers,1
Atomic Fiber Co.,5
Attic Spin Dye,2
Attitude Nord,2
Au Ver à Soie,2
Au fil des Nuages,1
Auahatia,2
Audine Wools,22
Auenleben,3
Aufburg,6
Augustbird,5
Auldcroft Angoras,2
Aunt Lydia's,5
Aunt Peggy's Closet,2
Auntie Boo,2
Aurinkokehrä,4
Aurora Silk,1
Aurora Yarns of Alaska,10
Austermann,68
Austiana,1
Australian Alpaca Barn,8
Australian Alpaca Centre,2
Australian Alpaca Connection,1
Australian Country Spinners,5
Australian Tapestry Workshop,1
Autumn House Farm,22
Autumn Mist Alpaca Farm & Fiber Mill,2
Autumn and Indigo Fibers,20
Aux Laines des Saisons,3
Ava Lu,3
Ava Yarns,4
AvaAdore,2
Avaini,1
Avalon Springs Farm,15
Avanti,1
Avec,5
Avenue,4
Avenue Fibres,1
Avenue Yarns,2
Aves Fiberworks,4
Aveyla,1
Avia,2
Avillion Farm,1
Aviva Leigh,3
Awesome Blossom Knits,2
Awesome Possum,1
Axtell Creek Designs,2
Ay Iplik,1
Aya Fibers,14
Ayany,1
Ayda,9
Aylin,1
Aymara,2
Azimuth Ranch,1
Azzurro,1
Aïcha's Handyed,1
B&M,13
B. D. V. France,1
B.M.S. Yarns,2
BAERENWOLLE,7
BB Bobbel,1
BBB Filati,70
BC Garn,26
BCT,5
BMG Affinitas,14
BOHEI Artist Dyed Yarn,24
BSK Ltd,1
Ba-a-ad Ass,1
BaT'at Hand Dyed Yarns,7
Baa Baa Brighouse,6
Baa Bum Handknits,3
"Baa, Baa & Black Sheep",1
Baa-realis Fibre,1
Baaa'd Girl Yarns,1
"Baad Mom Yarns, LLC",8
Baah Yarn,11
Babbles Yarns,4
Baby Alpaga,1
Baby Baby Sheep 羊宝宝,8
Baby Bee,14
Baby-Luv,1
Babylonglegs,15
Back Loop Yarn Co.,4
Back to Blighty,1
Back to the Garden Alpacas,1
Backward Sheep Yarns,2
Backyard Fiberworks,15
Bad Amy Knits,23
Bad Kitty Yarns,3
Bad Lux Designs,3
Bad Sheep Yarn,8
Bad Wolf Girl Studios,6
Badass Yarn,1
Badma Yarns,1
Bagnolo S.p.a,1
Bagual,1
Baguio's Hangar Market Yarn,1
Bahia Art,1
Bakery Bears Cottage,6
Bali Silks,1
Balitex Lanas Serf. S.A.,1
Ball and Skein,19
Ball of Love Yarns,2
Ballet de France,1
Balltopia Yarn Co.,1
Ballyhara Farm,1
Baltic Linen Designs,2
Bamboo Textiles,1
Bandit Fiber Co.,2
Banshee Dyes,2
Banshee Yarns,8
Bar a Tricot,6
BarberBlackSheep,4
Barcombe Romneys,1
Bare Naked Wools,53
Bare Sheep Yarn Company,8
Barefoot Shepherdess,1
Barevná klubíčka,1
Barka,10
Barker Wool,4
Barking Dog,14
Barn Cottage,1
Barn Owl Yarns,2
Barnyard Knits,11
Barnyardbiddy,1
Barrett Wool Co.,7
Bart & Francis,50
Bartlettyarns,13
Barton Yarns,1
Bashful Armadillo,1
Bashful Bags and Fibers,14
Basketful of Bunnies,1
Bastdale Alpaca,2
Baswik,2
Battenkill Fibers,3
Bauana Hygge,6
Baudilaine,2
Bay Haven Short Tails,2
Bay Horse Yarn,7
Bay Ridge Dye Works,3
Bay Springs Farm,1
Bay Street Yarns,10
Baynoddy,1
Baytree,3
Bayview Fiber Arts,5
Bazaar Lanero,2
Be Ewe Fibers,3
Be Sweet,7
Bea and Rose,2
Beach Bum Yarn Co.,10
Beach Bunny Yarns,5
Beaches and Birdsong,1
Beachy Breeze Fibers,6
Beadalon,1
Beaded Yarns,1
Beaker Button,1
Bean Blossom Fibers,1
Bean and Bam Hand Dyed Yarn,3
Bear & Pants,17
Bear Farm,1
Bear Hug Fibers,1
Bear Street Yarn,1
Bear in Sheep's Clothing,13
Bearhouse Alpacas,1
Beautiful Knitters,2
Beautiful LOLA,2
Beautiful Mess Yarn Works,7
Beautiful Silks,1
Beauty Mark Yarn,3
Beaver State Yarn,4
Beaverslide Dry Goods,12
Becoming Art,29
Becreatif Alpacas,2
Bed-Stuy Do or Dye,1
Bedfordshire Wool Company,5
Bedlam Dyeworks,2
Bee & Belle,2
Bee Kind Yarn,2
BeeWool,1
Beech Hill Farm,2
Beehive Yarns,11
Beemer Knits,11
Beersheba Farm,2
Beesybee Fibers,6
Beewefibers,2
Beezigns Dye Works & Design Studio,6
Beflecked,4
Behind the Pines,8
Beijer,6
Bekend Kulør,1
Belacryl,1
Belday Home,30
Belfast Mini-Mills Ltd.,5
Belinda Harris-Reid,8
Belisa Cashmere,1
Bella,5
Bella Baby,43
Bella Betula,2
Bella Coco,2
Bella Filato Studio,5
Bella Hand Dyed Yarn,7
Bella Soft Yarns,1
Bella Storia,5
BellaLana,23
BellaTrista,8
Belladonna Designs,3
Belle Epoque Hand Dyed Yarns,3
Belle Vallée Wools,3
Bellelaine,6
Bellevue Park Wool,2
Bellica Yarns,5
Bellissimo,8
Beloved Yarn,13
Bendigo Woollen Mills,30
Bene Nati,1
Bennett & Gregor,1
Benteng,3
Bergen,1
Berger du Nord,12
Bergers Cathares,8
Bergå,3
Bergère de France,79
Beritdavidsen.dk,1
Berkertex,1
Berlinco Hand Dyed Yarn,10
Berlini,33
Bernat,106
Bernetta Wolle,63
Berroco,87
Berry Colorful Yarnings,11
Berry Fun Yarns,6
Berry Meadow,6
Berry Patch Creations,6
Bertagna Filati,31
Bessie May,8
Best Of Wool,2
Best Silky,1
Best Wools Ltd,1
Bestiarium Yarn,3
Bestla Yarn Co,1
Betsymakes,3
BettaKnit,13
Better Knot Yarns,1
Betty and Belle,1
Betty-strickt,1
Betzi Spins,1
Bewitched Fiber Co.,3
Bewitched Pigments,6
Bewitching Knits,1
Beyond Basic Knits,17
Beyond Pretty Yarn,1
BiElle Filati,3
Bibi Knitting Yarns,1
Bibi Yarn,1
Biches & Bûches,7
Biches et Bûches,1
BiddyKnits,1
Biella The Wool Company,1
Biella Yarn,3
Biemmeffe,3
Biffsugar Yarns,7
Big Alice Dyes,4
Big Bad Wool,3
Big Bad Yarn,14
Big Goat Knits,2
Big Knit,1
Big Little Yarn Co.,9
Big Pine Yarn Company,1
Big Sky Yarn Co.,15
Big Twist,26
BigFootFibers,6
Bigfoot Yarn Company,8
Biggan Design,2
Bigmouth Yarns,1
Bigwigs Angora,4
Bilby Yarns,1
Billesberger,1
Billy,1
Biltmore Wool Barn,7
Bilum Hand Dyed Yarns,10
Bim tex,1
Bindestuen,2
Biota Yarns,1
Birch Creative,7
Birch Dyeworks,4
Birch Grove,1
Birch Hill Spinners,1
Birch Hollow Fibers,8
Birch Tree Fiber Arts Co,2
Bird In Hand,1
Birdhouse Fibres,2
Birdies Knits,5
Birds Nest Yarns,7
Birdseye & Tanner Brooks Farm,1
Birdstreet Yarn,7
Birkegårdens Mohair,1
Birkeland Bros. Wool,2
Biscotte Yarns,20
Biskvit,1
Bits & Hobs Yarns & Fibres,5
BitsyKnits,16
Bitter Buffalo Fiberworks,7
Bittersweet Woolery,10
Black Bat,10
Black Bunny Fibers,26
Black Cat Custom Yarn,11
Black Cat Fibers US,8
Black Cat Fibres UK,9
Black Coral,1
Black Diamond Alpacas,2
Black Elephant,16
Black Flock Fibres,3
Black Forest Yarn,12
Black Forest Yarns NZ,2
Black Fox Wool,1
Black Goat Fibers,2
Black Hills New Zealand Wool - Naturally,3
Black Isle Yarns,18
Black Market Wool,9
Black Oveja,1
Black Pearl Yarns,1
Black Pug Knits,1
Black Sheep Creamery Wool,4
Black Sheep Dyeworks,22
Black Sheep Goods,8
Black Sheep Yarn Shop,1
Black Stump Studio,7
Black Tie Fiber Arts,1
Black Tulip Farms,1
Black Wolf Ranch,16
Blackacre Yarns,2
Blackberry Hills,2
Blackberry Ridge,33
Blackbird Fiber Studio,2
Blackbird Sycamore Yarn,1
Blacker Yarns,45
Blackwattle Yarn & Fibre,8
Blaine Fleece and Fiber,1
Blair Vuitton,1
Blank Slate Yarns,3
Blarney Woollen Mills,2
Blarney Yarn,3
Blauwe Storm,1
Blazing Fibers,2
Blazing Needles,1
Bleating Art,5
Bleating Heart Haven,4
Blend,1
Bleu Poussière,11
Blij dat ik brei,3
Blind Buck Farm,4
Bling Your String,10
Blissful Knits,18
Blockwallah,3
Blokker,1
Blonde Chicken Boutique,6
Blood Moon Alpacas,2
Bloom Fiber Co.,2
Bloom Woolen Yarns,1
Bloomin Acres Farm,1
BloomingYarns,5
Bloomingdale Farm Angoras,1
Blooms & Ewe,1
Blossom + Fern Yarn Co.,4
Blossom Fibers,1
Blu Fiber Company,3
BluFiberCo,2
Blue Barn Fiber,21
Blue Castle Fiber Arts,1
Blue Cocoon Yarn,1
Blue Dolphin Dyeworks,1
Blue Elephant Yarns,7
Blue Fern Yarns,6
Blue Hawk,1
Blue Heron,39
Blue Highway Hand Dyes,2
Blue Hills Alpacas and Fiber Mill,4
Blue Hills Fibers,2
Blue Label Yarns and Crafts,5
Blue Moon Beads,1
Blue Moon Farm and Spinnery,1
Blue Moon Fiber Arts,46
Blue Moon Yarn,5
Blue Mule Fiber,7
Blue Ocean,1
Blue Ridge Silk Works,1
Blue Ridge Yarns,17
Blue Savannah,7
Blue Sheep Yarn Co,2
Blue Skin Yarns,9
Blue Sky Fibers,25
Blue Star Alpacas,1
Blue Yonder Yarn,1
BlueBirdYarn,2
BlueDogFibers,6
BlueDoxie Dyeworks,4
Blueball Mountain Spindle & Needleworks,1
Bluebell Yarns,7
Blueberry Farm Alpacas,1
Blueberry Pie Studio,6
BlueberryChickYarn,4
Bluebonnet Hills Alpaca Ranch,14
Bluegrass Mills,2
Bluestocking Yarns,1
BluetoothToaster Yarns,5
BluewaterYarns,1
Bluff City Fiber Arts,5
Blush Fiber Co.,3
Blush Yarns,2
Bo Fibres,4
Bo-Rage Yarns,2
Bobbel-Scheune,2
Bobbelschmiede-Lenany,1
Bobbie Sox Yarns,1
Bobbiny,3
Bobcat Alpacas,1
Bobilon,1
Bobinette Tricot,2
Bobolink Yarn,5
Bockens,22
Bodega Pastures,3
Bogerud,3
Bohemia Fibers,9
Bohemia Yarn Co.,1
Boho Chic Fiber Co.,4
BohoKnitterChic Spins,12
Bohoyarns,2
Bojos Wolltraum,1
Bolas de Tons,1
Bollekes,3
Bollicine,10
Bollmann & Schweiger,1
BomBom Yarns,3
Bombed Yarns,4
BombedYarns,1
Bombshell Dyeworks,22
Bona Yarns,5
Bonbon,5
Bone and Birch Needleworks,2
Bonita Yarns,8
Bonkers Handmade Originals,6
Boo's Attic,5
BooPollyBooYarns,2
Bookworm Yarns,1
Boozy Broad Yarn Co.,2
Bordinheira AM,1
Boreal Fibers,2
Borgo de' Pazzi,47
Borgo de' Pazzi Firenze,49
Borgs Vävgarner,12
Born in a Barn Fiber Arts,7
Boss Kitty,5
Boss Lady Yarn Co.,4
Botanical Fibres,6
Botanical Shades,1
Botanical Yarn,10
Botter IJsselmuiden,3
Botto Giuseppe,9
Botto Poala Coned Yarn,21
Bouclelaine,7
Bouton d'Or,26
Bovidae Farms,2
Bow Fiddle Yarns,1
Bowden Alpacas,1
Bowmont Braf,2
Boyes,8
Bramble Ridge Hand Dyed Yarn,5
Brambleberry Yarns,7
Bramwell,11
Bran'ds Farbtupferl,2
Bravo,19
Brazen Stitchery,10
Bre-Aly Threads,7
Breaking Yarn,5
Brediculous Yarns,15
Breezemount Farm,1
Breezy Manor Farm,1
Breezy Ridge Alpacas,3
Breigaren,1
Breipunt,3
Breizh Gloan,1
Bremont,33
Brenda and Heather Yarns,16
Brenel Alpacas,1
Bresni's Wool,1
Bretex,1
Brew City Yarns,15
Briar Patch New Zealand,3
Briar Rose Fibers,9
Bride Flight Studios,3
Bridgefield Fiberworks,4
Bridget’s Farm Cart & Wool,2
Brier Run Alpacas,1
Brigadoon Fiber Farm,9
Brigantia Luxury Yarn,3
Briggs & Little,12
Bright Bellis,2
Bright Colours,1
Bright Dyes,5
Bright Sparks,1
Brigit’s Wollmarkt,1
Brim Collections,3
Brine Dyeworks,2
Brisa Andina,2
Bristol County Dyeworks,3
British Bea Knits,2
British Breeds,12
British Mohair,6
British Mohair Spinners,1
British Wool,2
British Yarn,1
BrittyRaeKnits,9
Broadway Yarns,5
Broken Pattern,4
"Bronotta Yarns, LLC",11
Bronte Glen,1
Brookfarm Alpaca,2
Brooklyn Boy Knits,1
Brooklyn General Store,2
Brooklyn Handspun,5
Brooklyn Tweed,9
Brooklyn Yarns,1
Brooks Farm Yarn,19
Brookside Yarn Studio,1
Brown Paper Packages,1
Brown Sheep,26
Browning & Wolff,6
Brujeria Lana,3
Brushtail,1
Brushtale,1
Brycarda Fibre Art,3
Brynkir Woollen Factory,1
Brèagha Yarns,2
Bubbo Designs,1
Buchanan Fiber Co.,3
Bucher,1
Buckaloo View,6
Buckeye Farm,1
Bucks Meadow Alpaca Farm,1
Buckwheat Bridge Angoras,4
Budgetyarn,4
BuenaSuerte,4
Buffalo Gals,3
Buffalo Wool Company,4
Bug and Mouse Fibers,1
Bugbear Woolens,5
Buku,2
Buku Yarns,3
Bulgaria-K AD България-К АД,1
Bulgaria-K JSC,2
Bumblebee Acres Farm,13
Bumblebirch,7
Bumbling Yarns,1
Bumbo,26
Bungalow Farm,4
BunkyBoBos,5
BunnyBadger Fibers,10
Bunte Wolle,12
Bunte Wollmaus,5
Bunter Hexenkessel,2
Buntspecht,1
Buntwurm,16
Bunum,1
BuonaLèna,1
Burgis Brook Alpacas,2
Burnt Bridge Yarns,1
Burrow & Soar,5
Busse Wolle,1
Butik Rät & Avig,10
Butik Strik,6
Buttercup Fibers by Buttercup Creates,2
Butterfly Girl Designs,4
Butterfly's Web,3
ButterflyBush Yarns,1
Butternut Woolens,4
Buttjebeyy,7
Buttoned Up and Pinned Down Yarns,1
Buxom Cat Knits,10
By Amalie,2
By Carola Down Under,3
By Emra,2
By Hands 元博,1
By The Bay Yarn Co.,2
By sue MacBride,1
ByJaZa,2
ByKopranen,1
ByNight Dyes,20
BzyPeach,2
Báječna vlna,1
Bärengarne,7
Bånsull,5
C & M Acres Alpaca Farm,3
C R A F T Y,1
"C W D: Handcrafted Products for the Mind, Body & Soul",2
C'Laines,10
C. M. Kirova,1
C.Whitney Knits,6
CC Fiber & Design,1
CCSmile,4
CEWEC,39
CJ Kopec Creations,10
"CMD, Inc.",1
COLORBOMB Creations,10
COULROPHOBIA,19
CRAFTstoff,8
CSDye,10
CaMaRose,12
Cabin Boy Knits,1
Cabin Fever,6
Cable Tie Knits,1
Cables & Lace,3
Cacoethes,3
Cactus Yarn Studio,7
Cafe Knit,1
Caithness Yarns,3
Cajun Fiber Co.,6
Cake Wool Co.,9
Calcetines Marbe,1
Caledon Hills,2
Caledonia Dyeworks,3
California Cashmere Company,2
California Colorways,4
Caliope's Fibre,1
Call Me Sally Yarns,2
Calor Yarns,2
CamGarn,1
Camas Creek Yarn,1
Cambrian Mountains Wool CIC,3
Cambridge Fibres Ltd.,1
Camel City Dyeworks,10
Camellia Fiber Company,15
Camelot Dyeworks,11
Cameo Yarns,11
Camilla Pihl,2
Camilla Vad,2
Camilla Valley Farm,7
CampColorYarns,1
Campfiber Yarns,11
Campo,4
Campolmi Roberto Filati,25
Camus Natural Wools,1
